time,metal,price_usd_oz,usd_ils,news_score,lstm_1h,lstm_4h,lstm_8h,lstm_12h,lstm_24h
2026-09-18T11:38:43+00:00,gold,4377.399902,3.0335800647735596,-0.04367666666666665,4376.845830717365,4376.833260609433,4378.111060427327,4381.200406184552,4377.765382459186
2026-09-18T11:38:59+00:00,gold,4377.399902,3.0335800647735596,-0.04367666666666665,4376.845830717365,4376.833260609433,4378.111060427327,4381.200406184552,4377.765382459186
2026-09-18T11:39:10+00:00,gold,4377.399902,3.0335800647735596,-0.04367666666666665,4376.845830717365,4376.833260609433,4378.111060427327,4381.200406184552,4377.765382459186
2026-09-18T11:39:23+00:00,gold,4377.399902,3.0335800647735596,-0.04367666666666665,4376.845830717365,4376.833260609433,4378.111060427327,4381.200406184552,4377.765382459186
2026-09-18T11:39:35+00:00,gold,4375.899902,3.0335800647735596,-0.04367666666666665,4375.349987873413,4375.326781520307,4376.6142506519955,4379.680873521804,4376.263254561269
2026-09-18T11:39:46+00:00,gold,4375.899902,3.0335800647735596,-0.04367666666666665,4375.349987873413,4375.326781520307,4376.6142506519955,4379.680873521804,4376.263254561269
2026-09-18T11:39:57+00:00,gold,4375.899902,3.0335800647735596,-0.04367666666666665,4375.349987873413,4375.326781520307,4376.6142506519955,4379.680873521804,4376.263254561269
2026-09-18T11:40:08+00:00,gold,4375.899902,3.0335800647735596,-0.04367666666666665,4375.349987873413,4375.326781520307,4376.6142506519955,4379.680873521804,4376.263254561269
2026-09-18T11:40:20+00:00,gold,4375.899902,3.0335800647735596,-0.04367666666666665,4375.349987873413,4375.326781520307,4376.6142506519955,4379.680873521804,4376.263254561269
2026-09-18T11:40:31+00:00,gold,4374.5,3.0335800647735596,-0.04367666666666665,4373.954705892919,4373.92183022602,4375.218001740122,4378.263352119584,4374.862654458188
2026-09-18T11:40:42+00:00,gold,4374.5,3.0335800647735596,-0.04367666666666665,4373.954705892919,4373.92183022602,4375.218001740122,4378.263352119584,4374.862654458188
