Datetime,close
2026-07-10 05:00:00+00:00,4123.89990234375
2026-07-10 06:00:00+00:00,4125.5
2026-07-10 07:00:00+00:00,4120.60009765625
2026-07-10 08:00:00+00:00,4117.89990234375
2026-07-10 09:00:00+00:00,4106.5
2026-07-10 10:00:00+00:00,4113.7001953125
2026-07-10 11:00:00+00:00,4113.5
2026-07-10 12:00:00+00:00,4111.0
2026-07-10 13:00:00+00:00,4109.2998046875
2026-07-10 14:00:00+00:00,4108.7001953125
2026-07-10 15:00:00+00:00,4101.7001953125
2026-07-10 16:00:00+00:00,4122.10009765625
2026-07-10 17:00:00+00:00,4113.60009765625
2026-07-10 18:00:00+00:00,4109.60009765625
2026-07-10 19:00:00+00:00,4109.7001953125
2026-07-10 20:00:00+00:00,4116.60009765625
2026-07-10 21:00:00+00:00,4113.7001953125
2026-07-12 23:00:00+00:00,4084.300048828125
2026-07-13 00:00:00+00:00,4092.89990234375
2026-07-13 01:00:00+00:00,4082.10009765625
2026-07-13 02:00:00+00:00,4080.199951171875
2026-07-13 03:00:00+00:00,4076.800048828125
2026-07-13 04:00:00+00:00,4067.39990234375
2026-07-13 05:00:00+00:00,4066.300048828125
2026-07-13 06:00:00+00:00,4061.800048828125
2026-07-13 07:00:00+00:00,4063.0
2026-07-13 08:00:00+00:00,4072.800048828125
2026-07-13 09:00:00+00:00,4083.10009765625
2026-07-13 10:00:00+00:00,4076.300048828125
2026-07-13 11:00:00+00:00,4068.39990234375
2026-07-13 12:00:00+00:00,4064.0
2026-07-13 13:00:00+00:00,4075.199951171875
2026-07-13 14:00:00+00:00,4050.89990234375
2026-07-13 15:00:00+00:00,4022.39990234375
2026-07-13 16:00:00+00:00,4023.300048828125
2026-07-13 17:00:00+00:00,4000.300048828125
2026-07-13 18:00:00+00:00,4000.60009765625
2026-07-13 19:00:00+00:00,4008.5
2026-07-13 20:00:00+00:00,4009.300048828125
2026-07-13 21:00:00+00:00,4008.699951171875
2026-07-13 23:00:00+00:00,4007.39990234375
2026-07-14 00:00:00+00:00,4007.89990234375
2026-07-14 01:00:00+00:00,4011.60009765625
2026-07-14 02:00:00+00:00,4017.0
2026-07-14 03:00:00+00:00,4019.199951171875
2026-07-14 04:00:00+00:00,4022.60009765625
2026-07-14 05:00:00+00:00,4026.699951171875
2026-07-14 06:00:00+00:00,4037.800048828125
2026-07-14 07:00:00+00:00,4030.39990234375
2026-07-14 08:00:00+00:00,4027.300048828125
2026-07-14 09:00:00+00:00,4022.60009765625
2026-07-14 10:00:00+00:00,4028.699951171875
2026-07-14 11:00:00+00:00,4028.199951171875
2026-07-14 12:00:00+00:00,4038.10009765625
2026-07-14 13:00:00+00:00,4083.89990234375
2026-07-14 14:00:00+00:00,4084.0
2026-07-14 15:00:00+00:00,4093.0
2026-07-14 16:00:00+00:00,4073.10009765625
2026-07-14 17:00:00+00:00,4068.300048828125
2026-07-14 18:00:00+00:00,4070.10009765625
2026-07-14 19:00:00+00:00,4060.699951171875
2026-07-14 20:00:00+00:00,4062.10009765625
2026-07-14 21:00:00+00:00,4058.300048828125
2026-07-14 23:00:00+00:00,4055.10009765625
2026-07-15 00:00:00+00:00,4058.800048828125
2026-07-15 01:00:00+00:00,4065.10009765625
2026-07-15 02:00:00+00:00,4042.89990234375
2026-07-15 03:00:00+00:00,4041.699951171875
2026-07-15 04:00:00+00:00,4037.89990234375
2026-07-15 05:00:00+00:00,4039.10009765625
2026-07-15 06:00:00+00:00,4041.0
2026-07-15 07:00:00+00:00,4038.0
2026-07-15 08:00:00+00:00,4030.699951171875
2026-07-15 09:00:00+00:00,4037.699951171875
2026-07-15 10:00:00+00:00,4036.300048828125
2026-07-15 11:00:00+00:00,4034.300048828125
2026-07-15 12:00:00+00:00,4044.5
2026-07-15 13:00:00+00:00,4074.60009765625
2026-07-15 14:00:00+00:00,4068.5
2026-07-15 15:00:00+00:00,4067.199951171875
2026-07-15 16:00:00+00:00,4053.199951171875
2026-07-15 17:00:00+00:00,4040.300048828125
2026-07-15 18:00:00+00:00,4068.699951171875
2026-07-15 19:00:00+00:00,4066.300048828125
2026-07-15 20:00:00+00:00,4064.0
2026-07-15 21:00:00+00:00,4066.89990234375
2026-07-15 23:00:00+00:00,4065.60009765625
2026-07-16 00:00:00+00:00,4063.60009765625
2026-07-16 01:00:00+00:00,4050.39990234375
2026-07-16 02:00:00+00:00,4044.199951171875
2026-07-16 03:00:00+00:00,4036.89990234375
2026-07-16 04:00:00+00:00,4040.699951171875
2026-07-16 05:00:00+00:00,4038.300048828125
2026-07-16 06:00:00+00:00,4032.199951171875
2026-07-16 07:00:00+00:00,4035.800048828125
2026-07-16 08:00:00+00:00,4036.10009765625
2026-07-16 09:00:00+00:00,4040.300048828125
2026-07-16 10:00:00+00:00,4037.39990234375
2026-07-16 11:00:00+00:00,4035.10009765625
2026-07-16 12:00:00+00:00,4044.10009765625
2026-07-16 13:00:00+00:00,3996.39990234375
2026-07-16 14:00:00+00:00,3994.0
2026-07-16 15:00:00+00:00,4002.0
2026-07-16 16:00:00+00:00,4011.800048828125
2026-07-16 17:00:00+00:00,3996.39990234375
2026-07-16 18:00:00+00:00,3989.5
2026-07-16 19:00:00+00:00,3984.699951171875
2026-07-16 20:00:00+00:00,3984.60009765625
2026-07-16 21:00:00+00:00,3979.89990234375
2026-07-16 23:00:00+00:00,3982.10009765625
2026-07-17 00:00:00+00:00,3989.199951171875
2026-07-17 01:00:00+00:00,3995.89990234375
2026-07-17 02:00:00+00:00,3986.5
2026-07-17 03:00:00+00:00,3982.199951171875
2026-07-17 04:00:00+00:00,3995.699951171875
2026-07-17 05:00:00+00:00,3985.0
2026-07-17 06:00:00+00:00,3988.60009765625
2026-07-17 07:00:00+00:00,4003.10009765625
2026-07-17 08:00:00+00:00,3997.0
2026-07-17 09:00:00+00:00,3998.39990234375
2026-07-17 10:00:00+00:00,4001.800048828125
2026-07-17 11:00:00+00:00,3994.39990234375
2026-07-17 12:00:00+00:00,3997.89990234375
2026-07-17 13:00:00+00:00,3969.5
2026-07-17 14:00:00+00:00,4001.39990234375
2026-07-17 15:00:00+00:00,4005.5
2026-07-17 16:00:00+00:00,4024.10009765625
2026-07-17 17:00:00+00:00,4019.60009765625
2026-07-17 18:00:00+00:00,4014.800048828125
2026-07-17 19:00:00+00:00,4016.10009765625
2026-07-17 20:00:00+00:00,4019.89990234375
2026-07-17 21:00:00+00:00,4018.800048828125
2026-07-19 23:00:00+00:00,3997.89990234375
2026-07-20 00:00:00+00:00,3999.199951171875
2026-07-20 01:00:00+00:00,4013.699951171875
2026-07-20 02:00:00+00:00,4007.0
2026-07-20 03:00:00+00:00,4027.10009765625
2026-07-20 04:00:00+00:00,4027.800048828125
2026-07-20 05:00:00+00:00,4022.800048828125
2026-07-20 06:00:00+00:00,4012.300048828125
2026-07-20 07:00:00+00:00,4008.199951171875
2026-07-20 08:00:00+00:00,4022.0
2026-07-20 09:00:00+00:00,4023.300048828125
2026-07-20 10:00:00+00:00,4025.300048828125
2026-07-20 11:00:00+00:00,4029.0
2026-07-20 12:00:00+00:00,4030.5
2026-07-20 13:00:00+00:00,4012.0
2026-07-20 14:00:00+00:00,4009.5
2026-07-20 15:00:00+00:00,4010.5
2026-07-20 16:00:00+00:00,4016.199951171875
2026-07-20 17:00:00+00:00,4013.89990234375
2026-07-20 18:00:00+00:00,4009.199951171875
2026-07-20 19:00:00+00:00,4012.10009765625
2026-07-20 20:00:00+00:00,4010.699951171875
2026-07-20 21:00:00+00:00,4011.800048828125
2026-07-20 23:00:00+00:00,4004.0
2026-07-21 00:00:00+00:00,4014.39990234375
2026-07-21 01:00:00+00:00,4029.60009765625
2026-07-21 02:00:00+00:00,4027.60009765625
2026-07-21 03:00:00+00:00,4042.699951171875
2026-07-21 04:00:00+00:00,4050.89990234375
2026-07-21 05:00:00+00:00,4054.300048828125
2026-07-21 06:00:00+00:00,4066.0
